year,league,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
2025,AFC,New England Patriots*,11,2,0,.846,351,241,110,8.5,-5.0,3.5,2.0,1.5
2025,AFC,Buffalo Bills+,8,4,0,.667,337,259,78,6.5,-1.2,5.3,5.5,-0.2
2025,AFC,Miami Dolphins,5,7,0,.417,247,286,-39,-3.3,-1.6,-4.9,-3.3,-1.6
2025,AFC,New York Jets,3,9,0,.250,246,315,-69,-5.8,-1.8,-7.6,-4.0,-3.6
2025,AFC,Baltimore Ravens*,6,6,0,.500,289,293,-4,-0.3,-0.9,-1.3,1.0,-2.2
2025,AFC,Pittsburgh Steelers,6,6,0,.500,281,289,-8,-0.7,-1.1,-1.8,-1.0,-0.8
2025,AFC,Cincinnati Bengals,4,8,0,.333,280,374,-94,-7.8,-0.6,-8.4,0.3,-8.7
2025,AFC,Cleveland Browns,3,9,0,.250,194,270,-76,-6.3,-1.9,-8.3,-7.9,-0.3
2025,AFC,Jacksonville Jaguars*,8,4,0,.667,292,253,39,3.3,1.8,5.1,3.2,1.8
2025,AFC,Indianapolis Colts*,8,4,0,.667,357,249,108,9.0,-1.0,8.0,7.7,0.3
2025,AFC,Houston Texans,7,5,0,.583,263,198,65,5.4,3.3,8.7,0.1,8.6
2025,AFC,Tennessee Titans,1,11,0,.083,170,328,-158,-13.2,4.4,-8.7,-6.2,-2.5
2025,AFC,Denver Broncos*,10,2,0,.833,284,218,66,5.5,-1.6,3.9,-0.4,4.3
2025,AFC,Los Angeles Chargers+,8,4,0,.667,277,252,25,2.1,-2.7,-0.6,-0.6,-0.1
2025,AFC,Kansas City Chiefs,6,6,0,.500,305,232,73,6.1,0.7,6.7,1.7,5.1
2025,AFC,Las Vegas Raiders,2,10,0,.167,179,308,-129,-10.8,0.1,-10.6,-8.4,-2.3
2025,NFC,Philadelphia Eagles*,8,4,0,.667,270,249,21,1.8,1.3,3.1,-1.2,4.2
2025,NFC,Dallas Cowboys,6,5,1,.542,351,342,9,0.8,-1.1,-0.4,6.7,-7.0
2025,NFC,Washington Commanders,3,9,0,.250,262,323,-61,-5.1,0.3,-4.8,-1.3,-3.5
2025,NFC,New York Giants,2,11,0,.154,279,367,-88,-6.8,2.0,-4.8,-0.4,-4.4
2025,NFC,Chicago Bears*,9,3,0,.750,313,307,6,0.5,-3.0,-2.5,1.2,-3.7
2025,NFC,Green Bay Packers+,8,3,1,.708,294,226,68,5.7,-2.0,3.7,-0.3,4.0
2025,NFC,Detroit Lions,7,5,0,.583,350,274,76,6.3,-1.3,5.0,5.7,-0.7
2025,NFC,Minnesota Vikings,4,8,0,.333,224,281,-57,-4.8,-0.1,-4.8,-4.8,0.0
2025,NFC,Tampa Bay Buccaneers*,7,5,0,.583,279,301,-22,-1.8,3.4,1.6,2.3,-0.8
2025,NFC,Carolina Panthers,7,6,0,.538,247,297,-50,-3.8,0.8,-3.1,-3.7,0.6
2025,NFC,Atlanta Falcons,4,8,0,.333,243,276,-33,-2.8,-0.6,-3.4,-2.8,-0.5
2025,NFC,New Orleans Saints,2,10,0,.167,182,295,-113,-9.4,1.7,-7.7,-7.5,-0.2
2025,NFC,Los Angeles Rams*,9,3,0,.750,334,210,124,10.3,2.3,12.6,6.5,6.1
2025,NFC,Seattle Seahawks*,9,3,0,.750,350,217,133,11.1,0.4,11.5,7.1,4.4
2025,NFC,San Francisco 49ers+,9,4,0,.692,307,269,38,2.9,2.4,5.3,2.5,2.8
2025,NFC,Arizona Cardinals,3,9,0,.250,265,303,-38,-3.2,2.7,-0.5,0.0,-0.5
